Props,508617351,LordBusiness100,Working prison cell,,,,
Props,530326361,MoldyPotato49,Canvas for pixel art,,,,
Props,727504996,BlockingExploiter,Detailed large tree,,,,
Props,357172957,Hiphopbenny,Regular and dead trees,,,,
Props,706244219,Hiphopbenny,Configurable escalators,,,,
Props,404386041,DeveloperPixels,Functioning elevator/lift,,,,
Props,180314510,tehnoXbuilder,Moai model,,,,
Props,631802113,Kadecz,Phantom plate kit (sfoth),,,,
Props,758556535,BlockingExploiter,Vending machine,,,,
Props,604117446,MilesEdgelord,"Functional, wearable plane ✰",,,,
Props,285789795,dat1nubiy,Scary popup brick,,,,
Props,990548023,dat1nubiy,Functioning code door ✰,,,,
Props,972052129,bamo999,Oggy model as in Oggy and the cockroaches,,,,
Props,767442012,EnderManPaz,All egg hunt eggs from 2008 - 2016,,,,
Props,987885216,wyhlster,Small stagelight,,,,
Props,577139053,wyhlster,Functional boombox ✰,,,,
Props,655530015,bamo999,JackSplot from R2DA,,,,
Props,192700461,BlockingExploiter,Working stroller,,,,
Props,198035529,blappyalt,'Blap Mesa' computer terminal,,,,
Props,920918972,2developer0,Camp Half Blood realistic pine tree ✰,,,,
Props,569533778,blappyalt,Lemonade vending machine (functions),,,,
Props,279959383,lanausse786,Retro cola machine (sets you on fire when you drink it + other fun stuff) ✰,,,,
Props,361941318,SKYROPYRO,Functioning tornado ✰,,,,
Props,199856034,inktended,2 story happy home,,,,
Props,515778493,Enid,Admin rank door inspired by the VoidBlox door,,,,
Props,366262923,Ways1990,Lantern with customization options,,,,
Props,462199467,JayP06_FAKE,Streetlight with customization options ✰,,,,
Props,376908930,christmasf,Locked TF2 crate,,,,
Props,595551712,CrazyCritz,Floating island,,,,
Props,733419803,houtal,"787 Dreamliner Airplane (mesh, doesn't fly)",,,,
Props,546116857,houtal,"KLM 747 Airplane (mesh, doesn't fly)",,,,
Props,401390378,EgregiousHater,Super mario lucky block with sound on collision,,,,
Props,392732669,Hiphopbenny,Jack-o-lantern set,,,,
Props,712816779,BlockingExploiter,classic chess set (doesn't topple when pushed),,,,
Props,743964743,BlockingExploiter,Whale model from Nuke the Whales,,,,
Props,252705284,BlockingExploiter,"""stairs for an admin map"" (rainbow spiral staircase with decorations)",,,,
Props,896816778,Victor3341M,Realistic water with 25 frames ✰,,,,
Props,167961690,BlockingExploiter,"""Paint yourself"" (Body recolorer)",,,,
Props,212750895,asriel_felype,Chandelier model,,,,
Props,132740546,BlockingExploiter,Nyan Cat pixel art,,,,
Props,462925130,BlockingExploiter,Japanese tori/shrine gate,,,,
Props,232780612,BlockingExploiter,"""Scary tree""",,,,
Props,462610180,CocoDysphoria,Improved fake neon *this one seems to glow a bit.,,,,
Props,681143312,constructionworker72,McDonalds logo,,,,
Props,748176770,BlockingExploiter,Horse statue/fountain,,,,
Props,400200577,nanofox10,Large tree,,,,
Props,427083665,AyRay,Flyable plane ✰,,,,
Props,749677919,aadenboy,aadenboy's rube goldberg machine ✰,,,,
Props,476984004,2developer0,Fence,,,,
Props,696680058,ExecutiveKrab,"Functioing jukebox, comes with 12 default songs",,,,
Props,912106529,KyndaKold,Spinning mario coins,,,,
Props,810399203,Biggest_smalls,Bloxy cola box,,,,
Props,231923265,mem_,Abuse proof bloxy cola dispenser (move imported tool to lighting) ✰,,,,
Props,706976703,NicePotato,Working gumball machine,,,,
Props,351890923,Biggest_smalls,Office props,,,,
Props,935983325,monkeybusiness,Classic fog model,,,,
Props,323678352,Nobonet,Garden gnome,,,,
Props,501388336,Adverbt,Overly-complicated bloxy cola dispenser,,,,
Props,926669380,Biggest_smalls,Every roblox book on a shelf ✰,,,,
Props,932105719,Lemonlight,Set of 4 prop cars,,,,
Props,936136854,AimbotSniper1011,Waving noob,,,,
Props,340768460,nothingness,Sonic pixel art,,,,
Props,495793284,Beling,Working trampoline,,,,
Props,843610648,StudioFEZD,Nonfunctional computer,,,,
Props,814941639,zegaton,Snowmen pack,,,,
Props,933788248,Zane_Boiyt,Two zeppelins (ZW),,,,
Scripts,482370018,CallMeKY,Fall damage script ✰,,,,
Scripts,706303437,DeveloperPixels,Autoclick detector,,,,
Scripts,793631076,christmasf,Health regen remover ✰,,,,
Scripts,886064293,TheHoldenGamer,Boombox remover script ✰,,,,
Scripts,364512846,aadenboy,Maze generator script ✰,,,,
Scripts,384216221,AndreGamezTube,Running script with a stamina bar ✰,,,,
Scripts,350136856,BlockingExploiter,Script that standardizes all avatars in a server to basic ✰,,,,
Scripts,493551656,BlockingExploiter,Day timer,,,,
Scripts,597115481,iwilltake2,Customizable crouch script ✰,,,,
Scripts,621954341,dat1nubiy,Floating damage indicator for RPG games ✰,,,,
Scripts,103313958,BlockingExploiter,Press 'f' to knife script - usage: 1.) put 'knifearm' in lighting 2.) put 'knifescript' in startgui ✰,,,,
Scripts,307509659,ExecutiveKrab,Booster items removal script ✰,,,,
Scripts,773289507,Trinkance,Round system script ✰,,,,
Scripts,909040348,KyndaKold,Blood script (functions with NPCs),,,,
Scripts,351275306,supermario928,Ingame Avatar customization script ✰,,,,
Scripts,827865767,wiiu2006,Automatic admin giver on join   ✰,,,,
Scripts,759855114,Nobonet,Damage indicator script ✰,,,,
Scripts,201528757,dat1nubiy,Force 1.0 package script ✰,,,,
Scripts,935983325,MarioTheDuck123,Explosion upon death,,,,
Scripts,276290579,lanausse786,Custom particle script ✰,,,,
Scripts,830451653,lanausse786,Terrain Generation v0.1 (customizable terrain generator with height map coloring) ✰,,,,
Scripts,832581904,Green,Blacklist player script (Use player ID),,,,
Scripts,803834015,dat1nubiy,Outline creator (cartoonify your map) ,,,,
Scripts,450898601,Swimmar,Player join announcement,,,,
Scripts,268463351,dat1nubiy,Bevel creator ✰,,,,
Scripts,127580251,dat1nubiy,Mad Studio Chat Voice! (incomplete),,,,
Scripts,578934917,Nobonet,Lag compensation script,,,,
Signs,474251344,DeveloperPixels,Server age billboard,,,,
Signs,381334029,BlockingExploiter,Sign using surface gui,,,,
Signs,560395227,mjdxp,Wet floor sign,,,,
Signs,720136797,lanausse786,Retroblox billboard,,,,
Signs,323716975,supermario928,'How to drive' billboard,,,,
Signs,123285843,namisaska,Roblox news billboard,,,,
Signs,956266730,ClockBackit,"""Keep calm and I like turtles"" sign",,,,
Signs,817882014,KyndaKold,"Functional, scaleable roblox news TV",,,,
Signs,376702200,Y55ter,Bloxiade billboard,,,,
Silly,915545142,MarioTheDuck123,Grommit mug,,,,
Silly,149814396,OrlenkoDima2011_alt,Floppa killer NPC,,,,
Silly,942627172,MarioTheDuck123,Neco arc face giver,,,,
Silly,450455996,ExecutiveKrab,Dietz Nuts gear with editable sound and healing options ✰,,,,
Silly,665977892,CrazyCritz,Dancing R15 noob,,,,
Silly,390049687,Miscience,"""Epic man"" model",,,,
Silly,284303733,makarona_2020,Sad trollface gif,,,,
Silly,815608829,Green,"""stickuppet"" puppet popsicle",,,,
Silly,494439940,Loafiodelic,Zombified AyRay,,,,
Silly,986470849,Adverbt,/e explode chat command that explodes your avatar ✰,,,,
Silly,357983177,birdmartinyt,Cone (the former admin) NPC,,,,
Silly,153781375,Someoneslamp,Creepy mickey mouse,,,,
Sounds/Music,180230060,dat1nubiy,Horror ambience,,,,
Sounds/Music,569361825,MarioTheDuck123,Announcer SFX for round system games ✰,,,,
Sounds/Music,285069163,Thomasluigi07,Horror music,,,,
Sounds/Music,265174644,BriarTheDog2013,Briar's horror sounds/ambience,,,,
Sounds/Music,611922670,KyndaKold,Minigame music,,,,
Vehicles,416082416,iiSunnyTimes,Blue and red truck,,,,
Vehicles,255074853,VineJuicer,F2004 racecar ✰,,,,
Vehicles,921502937,lanausse786,Car Respawn Pad from Happy Home in Robloxia 3,,,,
Vehicles,112742083,VineJuicer,Fernado Alonso Renault R25 racecar ✰,,,,
Vehicles,738513590,MADVAL2,"""FBI"" car",,,,
Vehicles,538292052,Adverbt,"Yellow car with engine noises, durability, toggleable lights, and horn ✰",,,,
Vehicles,530014058,Adverbt,Car with suspension ✰,,,,
Vehicles,118595230,Adverbt,Basic motorcycle,,,,
Vehicles,843315197,Adverbt,Green sedan with very smooth turning functionality ✰,,,,
Vehicles,316112334,KyndaKold,Silver minivan,,,,
Vehicles,193893293,KyndaKold,Red convertible,,,,
Vehicles,199751691,KyndaKold,Silver pickup truck,,,,
Weapons,652194198,TeapotWizard,Gun that deletes things,,,,
Weapons,652759038,bamo999,Hit-scan weapons (m249) ✰,,,,
Weapons,969112413,Zombieboy667,Zombieboy667's Custom AUG and a Bonus M1911 with instructions in read script ✰,,,,
Weapons,707334094,TheArtistTree,Functional tool givers (SFOTH set),,,,
Weapons,842657462,mjdxp,Simple dagger,,,,
Weapons,483762569,mjdxp,"Gun pack (Laser, Pea shooter, Pistol and more)",,,,
Weapons,651310940,TrademarkedRobloxian,Realistic flamethrower ✰,,,,
Weapons,132704197,boiiiii1u2q,USP Match from Half Life 2,,,,
Weapons,766741468,christmasf,Frag grenade and land mine set with damage indicators,,,,
Weapons,298172126,Miscience,Customizable time-bomb tool,,,,
Weapons,580291177,SniperTon00,Animated melee system and included weapons (fireaxe and pipe) ✰,,,,
Weapons,222818666,Zombieboy667,ZombieBoy667's Advanced guns V3,,,,
Weapons,726597490,SniperTon00,"Animated glock, put glock_animations in lightining  ✰",,,,
Weapons,474111124,oiraMgnilbuM,Explosive lazer gun,,,,
Weapons,727884711,dat1nubiy,Blunderbuss and Thunderbuss ,,,,
Weapons,188960745,mem_,Raycast assault rifle with customization,,,,
